city_id,City,Population (approx.),Median Income (USD),notes
atlanta_us,"Atlanta, GA","6,200,000","75,000","Atlanta is widely seen as a leading Black business and culture hub in the U.S., with strong HBCU pipelines, Fortune 500 presence, and high Black professional density. Opportunity supports entrepreneurship, media, tech, and services. Networks are unusually cohesive and scalable across corporate, civic, and creative ecosystems."
houston_us,"Houston, TX","7,300,000","70,000","Houston’s scale and diversity create strong pathways in energy, healthcare, logistics, and engineering. Cost-to-income value remains attractive compared with coastal metros. Black middle-class neighborhoods and professional associations are substantial, though less centralized than Atlanta. Great for founders seeking operational scale, industry clients, and workforce depth."
dallas_us,"Dallas, TX","7,900,000","72,000","Dallas benefits from corporate relocations, strong employment growth, and pro-business conditions. Opportunity is high in services, tech, and real estate, with expanding regional markets. Black networks are growing but more dispersed; success often requires deliberate ecosystem entry (chambers, accelerators, and regional industry associations)."
charlotte_us,"Charlotte, NC","2,800,000","74,000","Charlotte is a major finance and banking center with stable professional opportunities and strong upward mobility for skilled workers. The city’s growth creates demand in services, real estate, and fintech-adjacent roles. Black professional networks exist and are expanding, though smaller than Atlanta/DC. Good family stability profile."
raleigh_us,"Raleigh, NC","1,500,000","78,000","Raleigh’s Research Triangle positioning supports strong tech, biotech, and university-driven opportunities. Population growth and talent inflows sustain demand for services and innovation. Black networks are present but less dense than legacy Black hubs; outcomes improve with institutional ties (universities, corporate employers, and regional innovation programs)."
durham_us,"Durham, NC","330,000","68,000","Durham is a smaller market anchored by healthcare, academia, and biotech research. Strong for professionals and founders connected to universities and regional innovation networks. Opportunities exist in science, health, and services, but scaling often relies on the broader Triangle economy. Black networks are developing and can be navigated locally."
memphis_us,"Memphis, TN","1,300,000","58,000","Memphis offers deep Black cultural and civic institutions, with strong community networks and leadership infrastructure. The logistics sector (distribution, warehousing) supports entrepreneurship and employment. While incomes are lower, affordability improves runway for founders. Impact-centered and community-rooted ventures can thrive with local legitimacy and partnerships."
washington_dc_us,"Washington, DC","6,400,000","95,000","DC is unmatched for access to policy, government contracting, NGOs, and institutional decision-makers. The region has one of the strongest concentrations of Black middle and upper-middle-class households. Opportunity is high for mission-driven professionals, consultants, and entrepreneurs working in policy, procurement, and social impact. Networks are exceptionally influential."
silver_spring_us,"Silver Spring, MD","82,000","90,000","Silver Spring provides DC access with a suburban lifestyle and strong diversity. It attracts professionals connected to federal, nonprofit, and consulting sectors. Black networks benefit from the broader DMV ecosystem. Opportunity is steady rather than speculative, supporting stable career paths and service businesses. Good for families seeking proximity to DC opportunity."
hyattsville_us,"Hyattsville, MD","21,000","78,000",Hyattsville is a smaller suburb near DC with growing creative energy and redevelopment activity. Proximity to DC expands opportunity for employment and entrepreneurship while maintaining relatively lower entry costs. Black professionals and creatives can plug into DMV networks while benefiting from local community scale and a neighborhood-based small-business environment.
bowie_us,"Bowie, MD","58,000","95,000","Bowie is known for stable, educated Black middle-class households and strong homeownership. It is more residential than entrepreneurial, but excellent for professionals working in DC-area sectors who want community cohesion and stability. Many business models are services, consulting, or home-based. Networks connect easily to the broader DMV region."
alexandria_us,"Alexandria, VA","160,000","100,000","Alexandria benefits from high incomes, strong schools, and proximity to federal contracting ecosystems. It is attractive for consultants, government-adjacent professionals, and service businesses targeting DC clients. Black networks are present and strengthened by DMV density. Opportunity is strong for stable career tracks and professional services businesses with institutional clients."
chicago_us,"Chicago, IL","9,500,000","72,000","Chicago offers metro-scale markets, diverse industries, and deep Black cultural and institutional infrastructure. Opportunity can be high in professional services, logistics, healthcare, and creative sectors, though neighborhood inequality is significant. Black networks are strong and historic, supporting civic leadership and entrepreneurship, especially for those able to navigate local geography strategically."
detroit_us,"Detroit, MI","4,300,000","60,000","Detroit remains one of the most affordable large U.S. metros, creating strong entry opportunities for founders. Revitalization, mobility innovation, and manufacturing ecosystems create momentum. Black-led institutions and community networks are strong. While incomes are moderate, cost advantages can support experimentation and long-term community-centered enterprise, particularly in real estate and services."
columbus_us,"Columbus, OH","2,100,000","68,000","Columbus is growing steadily with strengths in education, logistics, and emerging tech. It offers a good affordability-to-opportunity balance, suitable for families and early-stage entrepreneurs. Black networks are developing and increasingly organized, but less dense than Chicago/Detroit/Atlanta. Strong pathway if connected to universities, employers, and city innovation programs."
minneapolis_us,"Minneapolis, MN","3,700,000","78,000","Minneapolis has strong corporate employers and high educational attainment. Opportunity exists in professional services and corporate pathways, but Black network density is comparatively lower and equity gaps can be pronounced. Success often improves through institutional sponsorship, community organizations, and targeted professional networks. Strong overall economy; social navigation may require more intentional strategy."
st_louis_us,"St. Louis, MO","2,800,000","62,000","St. Louis offers affordability and historic Black neighborhoods with active local networks. Opportunity is moderate but can be strong for founders leveraging low costs, real estate access, and community-based markets. Growth is often regional rather than global, and outcomes improve with partnerships in healthcare, education, and local procurement ecosystems."
